fid,NID,TITLE,SIG,CATEGORY,RESPID1,RESPID2,RESPNAME1,RESPNAME2,STATUS,SUBRF,START_DATE,END_DATE,AREA,LINK,WKT
"                  59","12275","Река Красная","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","10.10.1974",,"234.26","http://oopt.aari.ru/node/12275","POLYGON ((22.401303416000083 54.41608651100009, 22.40093152100012 54.41450042800004, 22.401032410000102 54.41147146600006, 22.40086442000007 54.41058147900005, 22.40031450700006 54.40987947900005, 22.400914501000035 54.40933751100007, 22.401206410000025 54.40862744800002, 22.4027625310001 54.40752955000002, 22.40305056900004 54.4068205010001, 22.401602523000037 54.40458850400008, 22.404038531000058 54.403469459000014, 22.40547246800003 54.40320845800001, 22.411692488000092 54.40050546900002, 22.413771541000063 54.40068151800001, 22.416346530000055 54.40052052400001, 22.417928558000106 54.399421591000035, 22.417994477000057 54.39827756700005, 22.417356557000037 54.39719748800004, 22.419029449000078 54.39704051300003, 22.421568596000014 54.396024587000056, 22.422022599 54.39504553000006, 22.4212185750001 54.39379251600004, 22.41980958100005 54.392272587000036, 22.420940647000013 54.39139761100004, 22.424423588000074 54.39155957600003, 22.428528549000085 54.39085563400005, 22.430622712000083 54.38997159200009, 22.432783642000093 54.38798758200005, 22.43019869400008 54.384910593000114, 22.428587624000006 54.38542461299999, 22.42690561200002 54.38667363700005, 22.422323631000065 54.38785051800001, 22.41622265600009 54.38742350300002, 22.41349464000007 54.388567591000076, 22.411869715000105 54.3905975650001, 22.413909627000034 54.39384154300008, 22.411125552000076 54.39472251900008, 22.40972362600006 54.39680953100008, 22.40610256700004 54.397597493, 22.403345531000095 54.399131486000016, 22.401378636000086 54.3996714840001, 22.400031545999997 54.40048149000008, 22.394861614000067 54.40205849700008, 22.392058539000054 54.40361046600006, 22.39122952300001 54.40555847500003, 22.39239653000004 54.40727746100004, 22.39338939900002 54.40778647500009, 22.392838467000008 54.409772480000086, 22.394176485000038 54.41143144800004, 22.393767449000038 54.41311744800001, 22.394443381000084 54.414292491000054, 22.39976040600004 54.41834044100006, 22.401303416000083 54.41608651100009))"
"                  60","52781","Парк Ясная поляна","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"3.1","http://oopt.aari.ru/node/52781","POLYGON ((22.442995768000028 54.56827588300002, 22.443510195000048 54.56772984500006, 22.443515419000025 54.56717522700009, 22.44352600900003 54.567108390000065, 22.443524644 54.56693779700007, 22.444020840000004 54.56617710100002, 22.444422956000064 54.56556002000003, 22.443560014000095 54.56532741700006, 22.443179466000043 54.56524195900001, 22.44309965900001 54.56522159200009, 22.443009178000064 54.56534092100009, 22.44264697700005 54.565864418000075, 22.442610915000078 54.56585644900003, 22.44230538300011 54.56629458200004, 22.442296335000062 54.56631675700002, 22.442166770000092 54.56650127000002, 22.44207281500004 54.56663059900006, 22.44218947300001 54.566659469000065, 22.44206196700013 54.566833364000054, 22.441945744000094 54.56680332200005, 22.441199560000097 54.5679555980001, 22.441368840000052 54.568050249000116, 22.441882908000057 54.56817657300008, 22.442578927000085 54.568346053000056, 22.442995768000028 54.56827588300002), (22.44303045100006 54.567088110999975, 22.443016871000086 54.56710825600007, 22.442828716000072 54.56706398200002, 22.442839152000115 54.56704170600005, 22.442699225000084 54.56700970300007, 22.442708514000074 54.566991120000054, 22.442410023000054 54.566923673000055, 22.442515428000064 54.56677565300007, 22.443508081000054 54.56700693000002, 22.443391077000058 54.56716744400007, 22.44303045100006 54.567088110999975), (22.442874014000083 54.565670211000096, 22.44308151500012 54.565359284000024, 22.44339507000003 54.565429929, 22.44318741800008 54.56574094800008, 22.442874014000083 54.565670211000096), (22.44237529100012 54.5663465650001, 22.442623227000098 54.566000539000065, 22.442959651000052 54.56608321600005, 22.44270417100006 54.566424094000006, 22.44237529100012 54.5663465650001), (22.442243829000066 54.56663126300003, 22.44228172900009 54.566574803000044, 22.44218094100002 54.56655002600005, 22.442273549000053 54.56641621500009, 22.442649459000062 54.56650126500001, 22.442505612000048 54.566696137000044, 22.442243829000066 54.56663126300003), (22.441708026000054 54.56793400400007, 22.44180562500005 54.567789013000066, 22.441602872000058 54.56774216100012, 22.44170027200005 54.56759537600003, 22.44208860900003 54.56768877000005, 22.44204945100007 54.567744431000015, 22.44245803600004 54.56784385700008, 22.442337399000085 54.56798238900007, 22.442030966000043 54.56790647200001, 22.44196423900004 54.56799200700008, 22.441708026000054 54.56793400400007))"
"                  61","54539","Аллея дуба черешчатого у города Нестерова","Региональное","Аллея","12290","32085","государственные бюджетное учреждение Калининградской области ""Природный парк ""Виштынецкий""","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","09.12.2019",,"4.92","http://oopt.aari.ru/node/54539","POLYGON ((22.5361521310001 54.634223619000096, 22.536651126000077 54.63417763800001, 22.539120174000086 54.63389367400004, 22.541880171000106 54.633574694000046, 22.543992220000067 54.63332663900002, 22.544634089000063 54.63326163600007, 22.544673217000085 54.63325966500008, 22.544655217000116 54.633125699000004, 22.544604166000052 54.6331276870001, 22.543948105000045 54.63319470500003, 22.5418342020001 54.633442686000016, 22.53907421400001 54.63376166500005, 22.536609202000076 54.634045682000085, 22.53612409200008 54.634089652000014, 22.535805183000058 54.6341056270001, 22.535558150000064 54.63408160900004, 22.535249147000087 54.634027599000014, 22.53493410300004 54.633938606000044, 22.527815195000045 54.63172960300004, 22.52508027100006 54.63083764400007, 22.522587203000022 54.63008156500003, 22.5213182300001 54.629764615000084, 22.51946825800006 54.62932862600007, 22.51741025700005 54.62887656500006, 22.51458130800002 54.62826360900007, 22.510360301000084 54.62733657800002, 22.505470350000067 54.626292512000035, 22.50162123000008 54.625528587000076, 22.49852833100005 54.624892574000036, 22.497522255000025 54.62474253500007, 22.497464280000127 54.624872494000066, 22.49846029600012 54.62502253000004, 22.501545255000003 54.62565654800001, 22.505392221000072 54.62642058400007, 22.510278260000046 54.62746253100003, 22.51449927800007 54.6283895640001, 22.5173282360001 54.62900261200009, 22.51938221600004 54.62945462100002, 22.521228267000126 54.62988857900005, 22.522487283000114 54.630203642000104, 22.524968170000108 54.63095560900005, 22.52770325700001 54.63184765800006, 22.534828117000067 54.63405868200002, 22.53516314300006 54.63415360500006, 22.535504210000045 54.63421361600005, 22.53579517700004 54.634241643000074, 22.5361521310001 54.634223619000096))"
"                  62","52695","Парк Добровольский","Местное","городской (поселковый) парк культуры и отдыха","12290","52721","администрация муниципального образования ""Краснознаменский городской округ"" Калининградской области","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","25.04.2018",,"7","http://oopt.aari.ru/node/52695","POLYGON ((22.501456675000068 54.766758295, 22.50185086900009 54.766698911000056, 22.502235336000087 54.76659406200011, 22.502320808000054 54.76657077200006, 22.50129801300009 54.764275334000004, 22.501141062000062 54.76374037100007, 22.500875316000087 54.76131430300004, 22.499500360000123 54.76126260100005, 22.49910411200002 54.76178133000007, 22.499778935000062 54.76229043500008, 22.499778979000084 54.76271239700009, 22.498835048000036 54.763350044000006, 22.498869049000085 54.76402217600011, 22.499408026000115 54.76416736200006, 22.499610977000124 54.764355341000055, 22.499892003000106 54.764450382000014, 22.500078018000032 54.765064332000115, 22.4994219320001 54.765263426000054, 22.49954302300009 54.76595034600004, 22.500550933000078 54.76626341700001, 22.500775961000052 54.766265421000085, 22.500898992000106 54.76648643099998, 22.50084597300008 54.76653899500009, 22.501180504000043 54.766767426000044, 22.501456675000068 54.766758295))"
"                  63","52769","Парк Ильинское","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"6","http://oopt.aari.ru/node/52769","POLYGON ((22.510526805000033 54.50468837800006, 22.51068037900005 54.50474084500007, 22.51089177800012 54.50460000800005, 22.511259039000052 54.50471321900009, 22.511537239000056 54.504731620000086, 22.511557271000026 54.50458725100007, 22.511879464000053 54.50457570800008, 22.512094507000068 54.504575616000075, 22.51209136900009 54.50468677600011, 22.512410902000052 54.50468576600004, 22.512403952000096 54.50447730800002, 22.51267170800005 54.5044621090001, 22.512679616000067 54.504338509, 22.513829412000096 54.504315104000014, 22.513808020999996 54.50418691000007, 22.514500534000025 54.50414488100003, 22.514494697000064 54.504092555000085, 22.514439003000067 54.503196888000055, 22.514436063000105 54.50310752300002, 22.512726823000087 54.50311159400008, 22.51265146100005 54.50316400400006, 22.512508126000107 54.5031847590001, 22.51229309900006 54.50315547400007, 22.511795820000046 54.50304035300007, 22.511251909000066 54.50288889500005, 22.51096635300007 54.502764814999985, 22.509995843000066 54.50308731700004, 22.508979041000053 54.50341713500005, 22.508647427000042 54.503535662, 22.508902389000088 54.50364078900008, 22.50962107100006 54.503828819000006, 22.509450823000087 54.50407449599999, 22.508726881000058 54.50388022300007, 22.50857259800008 54.50391957600007, 22.5085922160001 54.50405146900003, 22.50862011600011 54.504240968000026, 22.508583560000105 54.504379552000024, 22.508436665000115 54.50452566000003, 22.50859772400012 54.50458713800005, 22.50864911700011 54.50455075200004, 22.508681938000077 54.504566277, 22.508630547000088 54.5046027530001, 22.50900983000009 54.5047990570001, 22.51037437000011 54.50479914000001, 22.510526805000033 54.50468837800006))"
"                  64","52757","Дуб черешчатый","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"0.02","http://oopt.aari.ru/node/52757","POLYGON ((22.641962394000053 54.69221395300008, 22.641897314000065 54.69208890800002, 22.64166740200007 54.69212890100005, 22.641734371000002 54.69225491600011, 22.641962394000053 54.69221395300008))"
"                  65","12272","Озеро Виштынецкое","Региональное","памятник природы","12290","12290","Министерство природных ресурсов и экологии Калининградской области","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","10.10.1974",,"1491.97","http://oopt.aari.ru/node/12272","POLYGON ((22.70281797200001 54.45289850600009, 22.70454526800002 54.45238788900011, 22.73637529100004 54.44288358700003, 22.766078966000045 54.38728256700009, 22.766385949000053 54.38659074100003, 22.763618896000075 54.38620902600006, 22.76261567100001 54.38638192500006, 22.761935890000085 54.38677780100007, 22.761481042000103 54.38756600700001, 22.76012119500004 54.388863388000026, 22.758543932000098 54.389673547000115, 22.757053454000044 54.391414343000086, 22.757238952000115 54.39201923500003, 22.754915798000102 54.39358366500008, 22.753629067000045 54.39462115800002, 22.751801081000057 54.39507069200002, 22.75041640400006 54.39568307500005, 22.74946785500008 54.3958167310001, 22.74829257 54.39612334200006, 22.747582173000026 54.39644642000007, 22.7472202630001 54.396854158000046, 22.7471621380001 54.39787181900005, 22.74774770100006 54.398651756000014, 22.7493262550001 54.39974094600007, 22.748307453000102 54.40019842800009, 22.746451022000045 54.400571097999986, 22.74584322900002 54.400849669000046, 22.745507940000014 54.40147355100007, 22.74555287000008 54.402078349000114, 22.745047814000117 54.40250028300004, 22.743953694000098 54.402819097000034, 22.736514074000045 54.40265203900005, 22.73533108200004 54.40274109100006, 22.734487437000062 54.40298599700007, 22.733924762000044 54.40339142600005, 22.732362146000064 54.40397952400002, 22.73186054900006 54.40446308800008, 22.73155300299999 54.405149705000035, 22.731477832000103 54.40659169000006, 22.729920550000116 54.40862717500009, 22.726120709000025 54.41037719800001, 22.715030226000067 54.41310866600008, 22.71285965400007 54.41430985700008, 22.7113292150001 54.41625541800001, 22.71110541500005 54.41693400700002, 22.710500441000093 54.41739034800004, 22.708702516000105 54.41804950000005, 22.70786521000011 54.41785760000005, 22.706399119000118 54.41659923500004, 22.704807576000064 54.4158151820001, 22.70406160800006 54.41567127199999, 22.70235858800003 54.416164931000075, 22.698943773000003 54.41522548300007, 22.69808240100007 54.414273240000064, 22.696110213000043 54.413978070000056, 22.694563937000076 54.41420577200008, 22.69379682000003 54.414602695000035, 22.692793903000098 54.415633009000025, 22.69209663100004 54.416053820000016, 22.690330045000056 54.416585156000025, 22.688421551000083 54.41779174600002, 22.688097414000072 54.41844580400005, 22.686904192000043 54.42018867800004, 22.686751162000068 54.42119020100002, 22.687134734000015 54.42166432900009, 22.686473178000085 54.42208950200011, 22.68564657100007 54.42297473900007, 22.685904708000024 54.4236170830001, 22.686857535000087 54.42402743900004, 22.687695325000025 54.423989121000076, 22.68877069800001 54.42371063600004, 22.686970284000086 54.425172414000095, 22.683598504000074 54.426361464000045, 22.68302724800006 54.42668273499999, 22.682606722000095 54.427405860000064, 22.68207568400001 54.42798474600008, 22.682124575000078 54.428443345, 22.68400575500002 54.429597857000076, 22.684934800000065 54.43003838900009, 22.686008390000076 54.430355338000105, 22.68806931700007 54.43079477300009, 22.688882508000017 54.43114203700011, 22.68964991300003 54.43177923900006, 22.690352499000053 54.43223400200003, 22.691472782000034 54.43253227600003, 22.69381772700006 54.43271659499999, 22.694328486000053 54.43236705700002, 22.69421809100007 54.43180577600005, 22.69345069900008 54.43104407900009, 22.692885931000077 54.43073409100001, 22.692265419000048 54.43016529700012, 22.69322466200013 54.42864238100005, 22.692922292000045 54.42820319300003, 22.694449080000084 54.42794022800003, 22.695310937000073 54.427534510000044, 22.69612482800009 54.42743259200005, 22.69786318800005 54.42859159700003, 22.698842881000097 54.42890976100008, 22.699907628000087 54.42891833700005, 22.70092475900004 54.429169703000085, 22.70329657400001 54.43079985700004, 22.703945289000043 54.43111099200002, 22.70527821600008 54.432570941000016, 22.705519319000068 54.43316319800001, 22.70537470800009 54.433791537000026, 22.703858362000044 54.43461838800007, 22.703313175000055 54.43520658700006, 22.703287267000043 54.436377513000025, 22.704086311000065 54.43780788200006, 22.704242557000025 54.43853812300002, 22.703712697000068 54.439710505000036, 22.703730935000056 54.44035314400008, 22.70264446100006 54.44188518700012, 22.69949012400009 54.44504707900007, 22.69840903500008 54.44568068400009, 22.69712936500008 54.4466748930001, 22.696681201000033 54.4478061490001, 22.696874584000035 54.448442398000076, 22.69732168800001 54.44911762599999, 22.69800087000006 54.44982432700001, 22.698566761000087 54.45027272800007, 22.699196648000065 54.45062999300004, 22.699753269000016 54.45100607000009, 22.70036111700005 54.451889139000066, 22.701019064000032 54.4522298420001, 22.70112521500003 54.452793586000006, 22.701986374000054 54.45315868400002, 22.70281797200001 54.45289850600009))"
"                  66","52770","Парк Майское","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"3.2","http://oopt.aari.ru/node/52770","POLYGON ((20.97189531300007 54.822450033000024, 20.971879516000076 54.82235178399999, 20.971698991000068 54.82131675200007, 20.971674298000053 54.821089380999986, 20.969208003000016 54.82110083300006, 20.968417183000053 54.82114315200009, 20.967243268000082 54.82116516700003, 20.967383636000047 54.821279183000044, 20.967375417000103 54.82138128900006, 20.96748447200006 54.821420709000044, 20.967529063000114 54.82145169900002, 20.967518780000045 54.821492172, 20.967743467000076 54.82160661200008, 20.96821273700001 54.82168052200003, 20.96887036400006 54.821627705000104, 20.969134938000103 54.82161977100007, 20.969211441000116 54.821727872000054, 20.96930403500006 54.821791121000054, 20.969328536000134 54.8218895830001, 20.969159325000067 54.822185806000014, 20.969127357000012 54.82225754500009, 20.96914205900006 54.82232946800011, 20.96967244900007 54.822314591000016, 20.970696516000086 54.82261256900008, 20.97102344600004 54.82268662400006, 20.97189531300007 54.822450033000024))"
"                  67","52771","Парк Мичуринский","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"2.99","http://oopt.aari.ru/node/52771","POLYGON ((22.008052311000117 55.04520352800008, 22.008833235000086 55.04517856800007, 22.00935430400003 55.045119584000055, 22.009865246000032 55.045052470000115, 22.00994634700006 55.04497852700003, 22.009000175000043 55.04420199300008, 22.008691219000035 55.043966532000056, 22.008481228000075 55.04386158700007, 22.00824119000002 55.04378947700005, 22.007920335000037 55.043800469000075, 22.0076408770001 55.043852323000024, 22.007606235000072 55.043858590000085, 22.006970399000032 55.04346957600005, 22.006169326000105 55.04387854400005, 22.00586591600004 55.04449444700002, 22.00606616900009 55.044687294000106, 22.006270232000105 55.04490653200013, 22.005847446000043 55.045126656000036, 22.005732596000122 55.045125024000065, 22.005444958000044 55.044959614000064, 22.005384891000052 55.04499402300007, 22.005392375000042 55.04502614800006, 22.005255359000067 55.045118577000046, 22.00514836700009 55.045187514000084, 22.006139351000037 55.04520455200007, 22.00706631100006 55.04520750200006, 22.008052311000117 55.04520352800008), (22.00622018900005 55.04390265599999, 22.00696627000005 55.043521516000105, 22.00742426100003 55.043799507000095, 22.00732019600012 55.04385334100001, 22.007385293000095 55.04389984400003, 22.007242177000045 55.04395790000006, 22.007129281000044 55.0440292910001, 22.006862290000065 55.043863520000045, 22.00645810500003 55.04405894900005, 22.00622018900005 55.04390265599999), (22.00632415400004 55.0446883610001, 22.006220314000053 55.04463448899998, 22.006766107000107 55.04432985800008, 22.006828264000088 55.04436554900002, 22.00702232800008 55.044382537000025, 22.00714528100003 55.044483481, 22.007130260000043 55.044573469000085, 22.007013065000102 55.044684674000045, 22.006693348000038 55.044767071000024, 22.006551815000044 55.04483805400005, 22.00632415400004 55.0446883610001))"
"                  68","52774","Парк в г. Советске (парк культуры и отдыха)","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"15.69","http://oopt.aari.ru/node/52774","POLYGON ((21.880501595000037 55.076563784000086, 21.88055958200004 55.07602955400002, 21.880449845000026 55.07603066100002, 21.8804282650001 55.07585799800002, 21.88061030900005 55.07584001800007, 21.88062532000007 55.07563408000008, 21.880454400000044 55.07556515800006, 21.880375684000008 55.07533475800007, 21.88046525600004 55.07532213600012, 21.880320219000048 55.07477613700006, 21.881862499000118 55.07478002300008, 21.882037346000104 55.074574057000014, 21.88149521300001 55.074372069000006, 21.88081426000006 55.07426111600008, 21.880846372000065 55.07394211400005, 21.880412257000028 55.07368009400003, 21.880449320000064 55.073472102000046, 21.88081924200013 55.073238051000075, 21.87994635100001 55.07258386500002, 21.879177746000007 55.07266122100001, 21.87904053000003 55.072668441000104, 21.879157574000136 55.073219481000024, 21.878886159000057 55.07341392600006, 21.878098112000128 55.07346089200001, 21.877767190000014 55.07334599700002, 21.877622299000027 55.07269211100002, 21.877418381000023 55.07269812600004, 21.874823916000103 55.07247733000007, 21.874849416000092 55.07293401400004, 21.874838210000046 55.073014090000086, 21.87292573500008 55.073319778000084, 21.874250251000085 55.07500186800006, 21.875396311000056 55.074786059000076, 21.875938259000026 55.074737096000014, 21.87602176600011 55.074433366, 21.876281785000042 55.07443155900006, 21.876297512000097 55.07445306300004, 21.876638776999993 55.07445070000006, 21.87664161100006 55.07454051800001, 21.876613429000113 55.07454025700007, 21.87661539600011 55.07466636900002, 21.876335491000038 55.074667977000075, 21.876337451000012 55.074705159000025, 21.876343037000034 55.074803500000094, 21.876033264000085 55.07480844600005, 21.87573465700007 55.07489195200004, 21.875938396000052 55.07560518999997, 21.87691424200006 55.07560608700006, 21.876928332000066 55.07570907000005, 21.876987287000055 55.07587917600001, 21.877235341000063 55.07589968600013, 21.877335155000065 55.07590760000003, 21.87728028600005 55.076033102000046, 21.877493226000084 55.07606406400002, 21.87748919000011 55.076126058999996, 21.877545758000068 55.07613071200002, 21.87753415500009 55.07618779300005, 21.877412363000047 55.07618902900006, 21.8771961460001 55.07662967300004, 21.878861068000017 55.07692474700011, 21.879214442000116 55.07701324100004, 21.879461680000066 55.07708836400005, 21.879854171000126 55.077203487000055, 21.880501595000037 55.076563784000086))"
"                  69","52779","Парк г. Советска у мемориала Памяти русских воинов","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"10","http://oopt.aari.ru/node/52779","POLYGON ((21.842843717000033 55.08869642500005, 21.843086067000094 55.088687918000055, 21.842943324000103 55.087529966, 21.842387367000097 55.08754541100005, 21.839897686000086 55.08495649200003, 21.839751422000038 55.08497232100001, 21.839707217000033 55.084903205000074, 21.838193692000047 55.08514311300004, 21.838860905000104 55.08657579800009, 21.838013610000054 55.08669734000001, 21.838057584000055 55.08679115900006, 21.836827141000033 55.08695226800005, 21.83739811000002 55.08800511700002, 21.83743845200009 55.08807963499999, 21.837683658000035 55.088512632000025, 21.837728027000047 55.08850144200007, 21.838167788000124 55.088388297000044, 21.838229739000003 55.088381452000085, 21.838249910000066 55.08837815400002, 21.83871101900003 55.088480345000015, 21.839726903000056 55.08870158000003, 21.83977314800007 55.08870619300004, 21.839819796000103 55.08870388800003, 21.839879808000113 55.08880358400004, 21.842843717000033 55.08869642500005))"
"                  70","54540","Аллея дуба черешчатого у поселка Ясная Поляна","Региональное","Аллея","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","09.12.2019",,"2.24","http://oopt.aari.ru/node/54540","POLYGON ((22.41718677700006 54.585972356000106, 22.419034876000023 54.584725355000046, 22.4227618020001 54.582269382000035, 22.424292828000038 54.58128232400009, 22.425949826000092 54.58013333000005, 22.428050940000038 54.57875334400008, 22.42896285600008 54.578117373000055, 22.431132817000048 54.576560332, 22.430976858000115 54.57648640100011, 22.42880493100009 54.57804534200004, 22.42790091300007 54.578675318000116, 22.425797836000047 54.580057384000064, 22.424138826999997 54.5812063920001, 22.422609916000066 54.58219136500007, 22.418882880000076 54.58464931100004, 22.417034779999998 54.585896309000105, 22.413595859000054 54.58818935900004, 22.413749866999986 54.5882653040001, 22.41718677700006 54.585972356000106))"
