",№ обр.,""Глубина, м"",№ слоя,Гигр.влага,Содержание в %,""Диаметр частиц, мм"""
"162,23,5.06,8,2.51,12.5,""0,25-0,05"""
"163,24,5.21,9,3.35,14.92,""0,25-0,05"""
"164,25,5.37,10,3.21,18.02,""0,25-0,05"""
"165,26,5.48,10,2.39,30.85,""0,25-0,05"""
"166,27,5.55,10,2.93,29.9,""0,25-0,05"""
"167,28,5.64,11,2.68,28.36,""0,25-0,05"""
"168,29,5.78,11,2.53,28.65,""0,25-0,05"""
"169,30,5.85,12,0.86,68.73,""0,25-0,05"""
"170,31,5.92,12,0.41,38.81,""0,25-0,05"""
"171,32,5.95,12,1.45,50.92,""0,25-0,05"""
"172,33,6.01,12,1.97,35.54,""0,25-0,05"""
"173,34,6.24,13,0.32,31.81,""0,25-0,05"""
"174,35,6.5,14,0.52,75.08,""0,25-0,05"""
"175,1,0.27,1,1.63,0.98,""1-0,25"""
"176,2,0.59,2,0.39,0.61,""1-0,25"""
"177,3,0.73,3,1.77,0.18,""1-0,25"""
"178,4,1.0,3,1.54,0.13,""1-0,25"""
"179,5,1.35,3,1.23,0.39,""1-0,25"""
"180,6,1.67,3,1.58,0.19,""1-0,25"""
"181,7,2.26,3,1.37,0.73,""1-0,25"""
"182,8,2.4,4,1.56,0.41,""1-0,25"""
"183,9,2.7,4,1.4,0.34,""1-0,25"""
"184,10,2.9,5,1.39,1.16,""1-0,25"""
"185,11,3.13,5,1.72,0.31,""1-0,25"""
"186,12,3.33,5,1.39,0.82,""1-0,25"""
"187,13,3.55,6,1.36,1.34,""1-0,25"""
"188,14,3.78,6,1.54,0.54,""1-0,25"""
"189,15,4.14,6,1.66,0.94,""1-0,25"""
"190,16,4.32,6,1.54,1.28,""1-0,25"""
"191,17,4.42,6,1.4,6.31,""1-0,25"""
"192,18,4.49,7,1.71,3.45,""1-0,25"""
"193,19,4.57,7,1.83,2.88,""1-0,25"""
"194,20,4.69,8,2.08,1.13,""1-0,25"""
"195,21,4.8,8,2.37,7.09,""1-0,25"""
"196,22,4.97,8,2.3,6.14,""1-0,25"""
"197,23,5.06,8,2.51,8.64,""1-0,25"""
"198,24,5.21,9,3.35,11.83,""1-0,25"""
"199,25,5.37,10,3.21,9.66,""1-0,25"""
"200,26,5.48,10,2.39,6.29,""1-0,25"""
"201,27,5.55,10,2.93,8.12,""1-0,25"""
"202,28,5.64,11,2.68,6.89,""1-0,25"""
"203,29,5.78,11,2.53,7.41,""1-0,25"""
"204,30,5.85,12,0.86,8.47,""1-0,25"""
"205,31,5.92,12,0.41,6.08,""1-0,25"""
"206,32,5.95,12,1.45,12.71,""1-0,25"""
"207,33,6.01,12,1.97,8.97,""1-0,25"""
"208,34,6.24,13,0.32,11.61,""1-0,25"""
"209,35,6.5,14,0.52,12.35,""1-0,25"""
